published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2017-03-08,1135126,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,True,200,1487,16,18,All Levels,2.0,Business Finance,2017-03-08,2017,1,March,297400,1 : 3,170:200
2016-11-09,1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,True,150,3979,40,39,Beginner Level,5.0,Business Finance,2016-11-09,2016,4,November,596850,3 : 7,140:170
2017-01-18,1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,True,200,1406,71,54,Expert Level,1.5,Business Finance,2017-01-18,2017,1,January,281200,1 : 3,170:200
2016-07-13,860890,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,True,50,2134,55,5,All Levels,1.0,Business Finance,2016-07-13,2016,3,July,106700,0 : 1,20:50
2016-10-07,951050,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,True,200,1214,69,20,All Levels,1.5,Business Finance,2016-10-07,2016,4,October,242800,1 : 3,170:200
2016-03-21,796450,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,True,20,3870,53,10,All Levels,1.0,Business Finance,2016-03-21,2016,1,March,77400,0 : 1,1:20
2017-03-14,1102462,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,True,195,484,57,19,Beginner Level,1.0,Business Finance,2017-03-14,2017,1,March,94380,0 : 1,170:200
2017-01-11,1062092,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,True,200,1057,15,14,All Levels,1.5,Business Finance,2017-01-11,2017,1,January,211400,1 : 3,170:200
2017-05-23,1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,True,20,1239,5,6,Beginner Level,0.7,Business Finance,2017-05-23,2017,2,May,24780,0 : 1,1:20
2015-04-13,474928,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,True,40,2000,30,9,All Levels,1.0,Business Finance,2015-04-13,2015,2,April,80000,0 : 1,20:50
2017-03-23,1148774,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,False,0,1514,66,11,Beginner Level,0.55,Business Finance,2017-03-23,2017,1,March,0,0 : 1,free
